temperature,humidity,wind_speed,pressure,visibility,dew_point,cloud_cover,region,season,weather_condition
22.5,93,34.82,1005.8,8.9,14.1,37,East,Summer,Stormy
27.7,49,14.38,1008.3,9.1,23.9,64,North,Autumn,Stormy
32.8,45,37.07,1011.8,5.1,24.5,75,East,Winter,Sunny
21.2,46,27.95,1002.4,5.0,14.6,4,East,Autumn,Stormy
23.5,48,10.29,996.9,2.6,18.4,63,North,Winter,Stormy
16.1,37,22.56,1015.9,9.7,13.7,26,East,Autumn,Stormy
15.4,67,21.32,1013.3,2.9,6.2,19,East,Winter,Stormy
31.5,67,5.52,1012.9,2.7,31.0,59,South,Autumn,Stormy
35.8,82,23.65,1018.1,6.9,28.9,39,East,Summer,Stormy
24.4,60,12.59,1006.4,3.2,18.2,82,South,Monsoon,Stormy
33.0,73,2.09,1016.3,9.4,28.6,78,East,Monsoon,Stormy
27.9,89,37.95,1026.4,1.1,25.5,5,North,Monsoon,Stormy
19.8,46,25.66,1010.5,1.1,15.5,72,East,Winter,Stormy
27.9,68,35.08,1032.0,5.5,19.2,35,West,Monsoon,Stormy
37.3,71,27.04,1013.5,5.4,28.9,86,North,Autumn,Stormy
24.7,77,14.28,1004.5,2.5,15.3,73,East,Monsoon,Stormy
37.5,41,20.51,1021.5,5.5,34.4,64,East,Winter,Sunny
4.0,47,27.03,1011.9,4.7,0.1,10,North,Winter,Stormy
31.6,35,38.41,1023.5,9.0,31.4,48,West,Winter,Stormy
25.7,72,10.15,1017.1,1.1,16.3,83,North,Autumn,Stormy
22.6,64,35.0,1009.7,9.8,19.3,27,West,Winter,Stormy
25.7,83,36.96,1028.2,6.6,21.7,21,North,Autumn,Stormy
9.1,91,26.82,1008.0,2.4,0.0,83,North,Winter,Rainy
23.2,98,37.25,991.3,1.4,17.9,46,South,Summer,Stormy
27.9,45,15.92,1021.8,5.8,22.2,79,South,Winter,Stormy
36.8,37,38.12,1016.5,3.1,35.0,65,North,Monsoon,Sunny
20.9,60,28.11,1025.8,3.7,15.9,24,South,Monsoon,Stormy
18.5,39,1.68,1004.2,3.2,9.3,90,East,Summer,Cloudy
21.0,85,36.27,1010.5,6.9,15.4,66,East,Winter,Stormy
32.3,99,19.38,1009.4,6.0,29.7,86,East,Monsoon,Rainy
27.6,49,18.41,1022.3,1.7,27.3,31,South,Monsoon,Stormy
20.8,34,22.66,1019.5,5.7,17.4,16,South,Autumn,Stormy
29.1,52,5.98,1015.1,8.1,23.4,39,East,Autumn,Stormy
25.8,38,18.77,1015.2,1.7,25.4,83,North,Winter,Cloudy
32.7,87,33.25,1001.5,9.0,26.6,29,East,Summer,Stormy
19.4,88,0.62,1020.7,6.2,14.2,58,South,Winter,Stormy
22.4,83,10.92,1020.9,9.6,14.6,27,West,Autumn,Stormy
21.9,75,0.1,1035.9,2.3,21.6,46,East,Autumn,Stormy
13.3,51,16.63,1017.7,9.9,5.5,22,East,Winter,Stormy
27.4,93,29.13,1019.3,6.8,22.2,82,South,Winter,Rainy
27.1,37,31.95,1017.8,6.1,23.4,56,South,Winter,Stormy
25.0,49,37.81,1006.0,5.6,15.3,88,South,Winter,Cloudy
23.1,80,24.34,1025.5,1.2,21.5,87,South,Summer,Stormy
13.7,68,10.19,1012.4,9.5,8.3,0,East,Monsoon,Stormy
21.6,66,36.97,1011.1,6.8,18.4,91,South,Winter,Stormy
22.3,79,31.01,1011.7,1.8,17.0,28,West,Monsoon,Stormy
18.6,63,22.98,1012.3,1.2,13.1,49,North,Autumn,Stormy
23.7,62,27.83,1008.1,1.5,22.8,63,South,Monsoon,Stormy
28.2,60,36.97,1015.2,6.5,21.6,98,South,Winter,Stormy
40.1,83,28.5,1012.0,6.5,33.8,80,East,Monsoon,Rainy
26.4,73,14.73,1011.2,5.5,18.7,74,North,Winter,Stormy
27.1,63,28.52,1017.9,3.8,26.2,36,North,Winter,Stormy
24.4,91,1.61,1013.8,5.8,21.4,60,North,Autumn,Stormy
9.6,52,15.46,1007.5,5.6,3.1,6,South,Winter,Stormy
24.8,75,16.25,1005.4,1.2,23.4,89,East,Autumn,Stormy
25.5,85,6.67,1014.0,3.5,18.7,86,East,Summer,Rainy
44.7,36,0.92,1005.5,1.5,44.1,63,South,Winter,Sunny
23.5,90,5.34,1004.8,9.1,20.2,17,North,Autumn,Stormy
27.4,32,26.18,1005.0,7.5,18.9,28,North,Autumn,Stormy
24.7,67,32.09,1015.5,10.0,17.0,97,East,Winter,Stormy
15.7,63,39.53,1024.9,3.7,9.3,59,West,Monsoon,Stormy
34.1,73,13.85,1016.5,8.9,25.4,53,South,Autumn,Stormy
31.0,59,23.98,1021.9,6.4,23.9,71,West,Summer,Stormy
31.3,46,37.49,1012.3,5.1,26.1,20,West,Monsoon,Stormy
17.7,88,6.68,1014.4,3.0,7.9,20,North,Monsoon,Stormy
36.2,39,28.71,1029.5,7.6,29.3,57,West,Winter,Sunny
13.8,47,30.2,1021.3,9.1,7.8,48,South,Autumn,Stormy
29.7,74,3.56,1022.4,3.1,25.6,35,East,Summer,Stormy
42.5,88,34.45,1010.4,2.6,33.5,16,South,Autumn,Stormy
17.1,91,32.52,1012.9,7.3,14.1,79,South,Summer,Rainy
20.5,88,1.34,1017.1,9.8,20.4,52,South,Autumn,Stormy
25.8,78,3.64,1006.9,7.7,23.8,14,South,Winter,Stormy
21.0,92,1.97,989.4,3.6,19.9,78,West,Summer,Rainy
12.6,61,13.39,1017.0,4.8,9.4,39,North,Winter,Stormy
25.5,39,20.37,1022.6,4.5,17.2,80,East,Autumn,Stormy
16.5,40,21.29,1013.6,8.7,10.0,50,North,Summer,Stormy
28.8,99,10.71,1007.0,7.9,27.1,64,West,Summer,Stormy
17.6,91,36.46,1009.7,6.3,9.7,12,North,Autumn,Stormy
37.4,76,14.73,992.7,3.5,32.4,37,North,Winter,Stormy
18.7,63,1.82,1009.7,9.4,13.6,73,West,Summer,Stormy
22.4,46,12.01,1001.8,6.9,18.8,96,North,Summer,Cloudy
31.5,83,21.24,1006.0,9.7,22.9,25,East,Summer,Stormy
15.2,69,16.33,1001.3,6.2,12.0,75,West,Autumn,Stormy
26.8,48,10.95,1000.2,8.4,25.9,82,East,Monsoon,Cloudy
35.5,96,5.25,1003.0,8.3,32.5,14,North,Autumn,Stormy
12.1,82,32.77,1019.3,4.0,4.9,4,South,Winter,Stormy
26.5,93,39.85,1007.9,9.7,19.9,1,South,Monsoon,Stormy
27.1,76,13.18,1001.9,1.2,25.2,77,West,Summer,Stormy
31.3,35,15.26,1020.5,7.9,30.2,92,South,Summer,Cloudy
15.1,45,24.72,1014.3,9.7,8.5,64,South,Monsoon,Stormy
14.4,47,28.74,989.4,4.1,7.6,76,South,Summer,Stormy
29.2,81,15.68,1023.0,6.8,25.5,59,West,Summer,Stormy
27.4,77,36.2,1013.7,6.1,19.0,95,East,Autumn,Stormy
27.0,72,22.4,1020.7,7.9,17.2,97,South,Autumn,Stormy
27.8,68,18.02,1010.7,8.8,25.7,55,West,Winter,Stormy
19.6,78,25.87,1029.0,6.4,13.8,77,East,Summer,Stormy
26.9,41,38.11,1009.2,8.3,26.8,37,West,Winter,Stormy
27.3,39,31.78,986.6,3.8,20.2,56,South,Winter,Stormy
19.3,84,1.6,1004.1,3.1,15.2,50,South,Monsoon,Stormy
39.9,30,13.29,1018.0,4.9,38.0,40,North,Monsoon,Sunny
28.8,78,18.82,1014.6,7.1,21.3,78,North,Summer,Stormy
15.5,65,12.58,1011.8,2.7,7.4,69,North,Monsoon,Stormy
30.3,50,28.01,1003.1,7.1,29.2,92,East,Winter,Cloudy
17.2,66,33.05,1013.2,4.5,16.8,82,West,Autumn,Stormy
31.3,53,29.25,1012.9,8.2,28.0,51,East,Monsoon,Stormy
34.3,84,39.57,1012.8,1.3,28.0,0,North,Winter,Stormy
18.4,54,10.9,1018.4,7.0,10.5,84,North,Monsoon,Cloudy
32.7,36,35.0,1014.8,6.8,27.2,17,South,Summer,Sunny
28.3,53,30.66,1010.5,9.5,22.5,26,East,Monsoon,Stormy
31.6,40,14.49,1003.0,7.4,23.6,91,South,Autumn,Cloudy
40.2,41,29.36,1026.6,8.2,34.9,71,South,Summer,Sunny
23.0,64,4.16,1032.8,9.1,16.9,94,West,Monsoon,Stormy
19.0,92,31.57,1030.4,7.1,13.8,75,North,Autumn,Rainy
17.9,97,21.29,1020.0,3.6,9.1,41,South,Winter,Stormy
18.5,86,11.69,996.2,8.8,16.1,5,South,Monsoon,Stormy
24.4,42,26.23,995.0,7.7,21.8,89,North,Monsoon,Cloudy
27.7,52,25.66,1007.5,4.8,26.4,79,North,Winter,Stormy
27.2,68,8.38,1012.5,7.4,19.0,93,West,Winter,Stormy
31.6,41,1.22,1012.0,8.8,27.5,82,West,Monsoon,Cloudy
25.1,63,17.34,1014.9,9.8,21.6,81,South,Autumn,Stormy
36.6,60,22.78,999.1,9.6,26.8,23,South,Winter,Stormy
22.9,91,35.06,1029.1,3.9,13.6,44,South,Winter,Stormy
46.8,42,37.13,1028.1,4.8,37.1,83,East,Autumn,Cloudy
30.0,60,21.15,999.9,2.0,28.6,70,West,Monsoon,Stormy
18.1,31,30.15,994.4,3.2,9.2,6,South,Summer,Stormy
16.4,44,17.57,1012.1,8.9,13.1,15,North,Monsoon,Stormy
28.9,86,29.84,1025.6,4.2,28.8,57,West,Monsoon,Stormy
23.2,63,8.19,1012.7,6.6,19.3,56,West,Summer,Stormy
30.7,97,14.84,1015.6,7.0,25.6,41,South,Monsoon,Stormy
28.8,58,25.37,1008.6,8.0,27.7,13,East,Monsoon,Stormy
24.4,95,0.73,1014.5,2.6,19.0,55,South,Winter,Stormy
18.2,45,28.9,1022.4,3.7,10.0,11,East,Autumn,Stormy
12.9,68,33.42,1017.1,5.0,9.1,92,East,Monsoon,Stormy
21.4,66,15.97,1018.8,4.3,17.9,14,North,Summer,Stormy
31.9,50,17.92,996.4,9.8,28.5,7,South,Summer,Stormy
26.7,73,34.05,1034.4,8.5,17.5,57,East,Winter,Stormy
15.0,48,31.03,996.5,5.3,14.5,52,West,Monsoon,Stormy
26.4,37,11.53,1014.6,8.9,21.9,8,South,Monsoon,Stormy
28.1,95,12.96,1011.5,4.1,25.5,45,East,Monsoon,Stormy
17.9,70,27.16,1011.9,8.1,9.0,91,West,Monsoon,Stormy
26.2,99,22.53,1021.7,3.0,25.2,90,North,Summer,Rainy
25.5,90,6.49,1005.9,8.0,21.4,6,North,Summer,Stormy
15.9,55,12.4,1008.7,5.1,11.8,43,South,Winter,Stormy
27.9,99,36.0,1001.5,2.0,19.0,13,South,Monsoon,Stormy
29.5,58,27.53,1024.2,3.5,27.3,74,South,Summer,Stormy
33.7,95,39.44,1015.7,4.6,27.3,95,South,Monsoon,Rainy
33.4,48,30.68,1019.4,7.7,32.1,91,South,Autumn,Cloudy
14.0,97,37.68,1021.1,1.7,4.5,5,East,Autumn,Stormy
17.5,87,8.65,1032.9,6.9,11.6,34,West,Summer,Stormy
29.1,99,30.86,1031.2,7.4,22.8,69,South,Autumn,Stormy
29.1,86,0.81,1016.2,6.9,24.8,60,West,Autumn,Stormy
29.1,66,26.83,1014.6,7.8,25.7,23,East,Summer,Stormy
55.8,90,18.77,1007.7,2.6,53.7,72,East,Winter,Rainy
29.6,59,13.87,1020.4,6.3,23.6,1,East,Autumn,Stormy
34.1,54,34.5,1020.1,9.5,24.6,77,South,Monsoon,Sunny
32.6,94,34.17,1005.7,6.5,29.0,50,North,Autumn,Stormy
30.2,35,0.89,1020.2,6.5,21.4,30,North,Winter,Stormy
22.5,47,24.38,1023.1,7.6,21.0,93,South,Winter,Cloudy
31.1,39,14.71,1001.8,4.0,21.7,26,South,Winter,Stormy
18.8,40,16.63,1014.9,7.3,15.3,99,South,Winter,Cloudy
23.1,94,33.28,1012.3,9.2,19.3,30,East,Winter,Stormy
21.1,94,12.39,1012.9,1.1,16.5,69,North,Autumn,Stormy
25.7,81,37.72,1003.5,8.8,18.5,42,North,Autumn,Stormy
43.5,96,7.19,994.7,3.0,36.3,81,West,Autumn,Rainy
10.1,60,26.51,1005.4,5.1,5.3,51,West,Autumn,Stormy
30.5,46,26.88,1004.0,8.7,25.3,13,North,Winter,Stormy
12.1,84,10.09,1016.5,8.4,11.8,58,North,Winter,Stormy
21.2,65,12.99,1016.7,9.0,18.2,19,East,Monsoon,Stormy
33.7,55,33.39,1016.1,9.5,30.2,51,West,Autumn,Sunny
25.5,82,30.47,999.0,5.0,19.9,74,South,Winter,Rainy
16.4,46,13.16,1001.8,6.9,10.8,39,East,Monsoon,Stormy
19.3,54,21.36,1006.8,4.5,12.2,67,West,Monsoon,Stormy
30.4,31,2.47,1013.2,4.2,23.2,43,South,Summer,Stormy
19.2,34,8.35,1009.6,4.9,16.8,5,South,Autumn,Stormy
26.7,33,19.43,1016.1,7.7,19.0,86,North,Winter,Cloudy
25.4,65,3.44,1022.8,5.5,25.2,56,North,Autumn,Stormy
19.8,35,33.73,1003.0,8.3,12.6,57,South,Monsoon,Stormy
42.2,50,28.72,1003.4,7.7,41.2,71,South,Autumn,Sunny
30.1,55,37.75,1014.4,1.2,22.8,29,North,Summer,Stormy
8.8,84,27.74,1012.2,6.7,3.5,99,North,Summer,Rainy
26.5,68,37.62,1020.4,4.9,22.1,51,North,Winter,Stormy
19.7,62,22.18,1013.1,5.1,12.8,10,North,Winter,Stormy
31.8,43,24.01,1030.4,8.4,31.4,46,West,Winter,Stormy
18.7,85,39.08,997.1,5.9,16.5,4,North,Winter,Stormy
24.1,50,25.69,1021.4,9.0,17.9,2,East,Autumn,Stormy
29.0,75,1.23,1015.0,7.4,20.5,14,East,Autumn,Stormy
31.9,45,28.95,999.0,6.0,28.1,1,East,Monsoon,Stormy
15.4,45,36.22,992.3,7.8,12.8,1,North,Monsoon,Stormy
22.3,58,31.82,1001.7,1.3,17.1,71,South,Winter,Stormy
21.2,37,23.35,1025.1,1.2,15.0,53,South,Autumn,Stormy
19.8,32,26.85,1024.0,1.8,15.6,45,West,Winter,Stormy
39.1,48,39.61,1011.7,4.9,30.3,93,North,Monsoon,Cloudy
28.2,95,3.63,1009.4,3.1,23.0,40,East,Autumn,Stormy
14.9,51,26.69,1004.4,9.9,14.5,68,South,Winter,Stormy
32.3,75,11.34,1011.1,5.9,30.1,29,North,Summer,Stormy
42.0,42,25.6,1008.3,7.0,37.5,43,East,Monsoon,Sunny
33.3,62,24.3,1030.1,3.5,26.3,9,East,Summer,Stormy
12.8,34,6.14,1000.6,3.9,10.6,96,East,Summer,Cloudy
21.1,56,8.27,1016.9,4.0,11.3,87,East,Autumn,Cloudy
35.1,53,24.87,1030.6,7.3,31.9,82,East,Summer,Cloudy
19.3,96,5.13,1020.7,5.3,14.0,29,West,Summer,Stormy
28.6,92,10.61,1001.8,5.7,28.4,88,East,Winter,Rainy
31.2,77,33.41,997.6,6.3,22.4,74,West,Autumn,Stormy
17.6,92,13.08,1015.7,7.9,9.7,48,East,Winter,Stormy
24.5,41,19.52,1014.5,1.8,22.5,34,East,Winter,Stormy
-0.9,57,37.65,1025.3,8.0,-10.2,64,East,Winter,Stormy
16.8,73,9.09,1018.5,6.1,13.6,16,East,Autumn,Stormy
23.0,72,15.59,1008.2,7.0,16.1,30,West,Monsoon,Stormy
15.0,46,24.26,1007.5,3.9,6.8,69,North,Autumn,Stormy
38.1,69,30.21,999.9,4.7,30.7,76,South,Winter,Stormy
13.6,78,36.07,1014.3,3.1,4.4,51,West,Monsoon,Stormy
21.5,86,36.62,999.0,9.8,12.9,25,West,Summer,Stormy
26.0,93,31.07,1022.1,5.5,16.1,99,West,Monsoon,Rainy
36.5,86,9.13,1018.9,10.0,34.7,4,North,Autumn,Stormy
13.5,99,0.99,1018.6,5.4,10.5,13,South,Winter,Stormy
34.3,72,15.35,999.8,3.0,27.9,50,North,Summer,Stormy
25.1,52,5.66,1011.5,5.6,17.8,14,South,Summer,Stormy
17.1,56,28.42,1009.1,1.4,11.8,11,South,Winter,Stormy
28.7,87,26.45,1014.0,9.1,28.0,45,South,Summer,Stormy
26.6,66,1.76,1018.3,8.4,18.2,63,North,Summer,Stormy
20.2,35,33.46,1007.9,7.5,10.6,71,South,Summer,Stormy
25.6,94,9.95,1008.2,6.5,21.5,58,East,Autumn,Stormy
21.9,35,17.29,1019.8,6.2,19.7,94,West,Monsoon,Cloudy
25.9,79,26.72,1001.7,10.0,25.7,25,South,Autumn,Stormy
30.3,51,17.18,1005.5,3.5,27.9,28,West,Summer,Stormy
37.7,54,17.65,1013.1,8.0,30.7,3,North,Autumn,Sunny
15.1,80,2.63,1022.0,6.2,6.0,49,North,Summer,Stormy
42.1,77,16.06,1003.3,9.8,41.2,91,East,Autumn,Stormy
9.4,99,30.59,1030.9,8.5,3.9,24,South,Monsoon,Stormy
23.8,94,36.61,999.5,10.0,16.8,39,West,Winter,Stormy
29.7,89,16.54,1028.5,6.3,26.9,31,West,Monsoon,Stormy
27.2,75,16.94,1025.0,2.8,21.5,99,West,Autumn,Stormy
20.0,65,28.11,998.7,5.5,12.8,74,North,Autumn,Stormy
23.3,87,37.71,996.7,7.4,14.9,36,South,Monsoon,Stormy
21.1,67,10.68,1020.2,8.0,16.6,9,East,Autumn,Stormy
20.3,40,17.61,1009.2,1.0,12.8,37,East,Winter,Stormy
31.8,41,31.84,1002.9,5.5,28.8,60,North,Winter,Stormy
27.9,71,24.39,1031.1,3.1,25.8,99,South,Monsoon,Stormy
19.5,68,4.42,1001.1,8.9,17.6,26,East,Summer,Stormy
32.2,40,25.11,1005.7,2.4,28.6,80,East,Winter,Sunny
27.5,65,7.47,1006.9,7.0,27.1,6,North,Autumn,Stormy
31.5,81,20.41,985.0,3.4,28.7,72,West,Summer,Rainy
30.0,60,21.16,1013.9,4.2,23.5,98,East,Winter,Stormy
18.4,62,35.05,1003.9,9.5,11.9,8,North,Summer,Stormy
20.5,42,18.5,1021.1,3.2,19.8,58,East,Autumn,Stormy
31.0,47,11.18,1022.4,1.9,28.1,35,East,Monsoon,Stormy
29.9,70,9.24,1015.3,1.6,24.2,29,North,Monsoon,Stormy
24.8,87,34.97,1015.4,5.5,21.6,94,North,Autumn,Rainy
25.9,85,6.84,1014.6,6.8,21.7,18,South,Monsoon,Stormy
35.2,53,17.03,1006.0,3.9,28.1,40,East,Autumn,Sunny
20.3,60,7.49,1006.9,7.2,20.2,54,West,Monsoon,Stormy
29.4,84,30.93,1026.2,1.5,26.6,86,West,Winter,Rainy
23.4,39,18.97,1020.4,8.7,22.0,83,South,Monsoon,Cloudy
23.3,89,14.05,1015.1,8.3,22.0,5,South,Summer,Stormy
33.8,31,14.44,1019.0,9.9,24.2,87,North,Monsoon,Cloudy
31.6,44,34.09,1012.4,9.4,27.8,21,West,Monsoon,Stormy
31.5,32,22.15,1014.8,4.2,26.2,69,East,Monsoon,Stormy
35.4,72,28.71,1018.9,4.6,28.1,23,North,Monsoon,Stormy
25.2,60,35.88,992.3,7.7,24.7,61,East,Winter,Stormy
30.5,99,36.07,1022.1,2.2,28.1,41,West,Autumn,Stormy
22.5,96,13.14,1021.3,3.8,14.2,21,North,Winter,Stormy
27.6,85,38.1,1005.2,2.1,19.0,81,East,Winter,Rainy
24.0,92,1.0,1025.4,5.1,20.3,15,South,Summer,Stormy
25.8,44,15.07,990.8,6.0,22.1,99,East,Autumn,Cloudy
29.8,39,35.83,1016.5,2.9,22.2,12,East,Autumn,Stormy
18.5,67,10.99,1013.4,1.2,15.5,36,North,Summer,Stormy
41.7,76,10.92,1009.9,7.5,40.5,51,West,Autumn,Stormy
17.0,86,12.1,1013.2,1.2,14.4,23,East,Monsoon,Stormy
15.3,79,24.49,1018.8,9.8,11.4,82,East,Autumn,Stormy
34.3,44,17.53,994.9,3.0,33.8,83,East,Summer,Cloudy
31.3,47,29.07,1023.0,7.0,26.5,90,East,Summer,Cloudy
30.0,31,35.8,1008.9,4.9,22.6,16,South,Summer,Stormy
30.0,72,26.97,1023.2,1.5,24.9,15,West,Summer,Stormy
24.9,55,8.18,1019.4,5.2,24.2,0,West,Winter,Stormy
17.8,67,37.31,1008.7,5.7,13.4,84,North,Autumn,Stormy
25.6,71,10.58,1012.2,8.7,18.5,90,East,Winter,Stormy
19.6,34,6.0,1012.8,7.6,19.0,0,North,Summer,Stormy
32.8,40,3.6,1029.1,1.7,32.2,29,South,Summer,Sunny
23.8,94,22.54,1001.6,2.9,20.1,83,South,Winter,Rainy
18.4,63,4.55,1008.6,3.8,16.5,23,East,Monsoon,Stormy
22.4,30,5.55,997.2,2.0,13.1,45,North,Autumn,Stormy
28.3,31,12.0,1014.2,5.1,22.5,1,North,Winter,Stormy
20.5,49,11.27,1006.8,9.9,17.6,14,West,Autumn,Stormy
18.4,90,24.17,1008.0,5.6,11.4,28,North,Summer,Stormy
26.9,50,32.67,1027.8,7.7,23.2,98,South,Summer,Cloudy
27.0,97,30.45,1004.8,7.1,25.7,61,South,Summer,Stormy
20.9,41,10.5,1011.4,8.6,18.5,12,East,Autumn,Stormy
21.2,51,9.81,1008.4,2.9,14.8,82,North,Autumn,Cloudy
26.9,49,38.63,1009.0,7.8,26.4,64,North,Winter,Stormy
13.4,30,0.33,1040.7,8.9,10.7,44,South,Summer,Stormy
13.7,59,35.19,995.7,2.5,11.6,46,East,Winter,Stormy
19.3,53,7.99,1019.4,4.1,17.3,15,West,Monsoon,Stormy
23.3,43,37.89,1037.3,9.7,16.5,2,West,Summer,Stormy
27.5,65,13.69,1023.8,8.0,19.2,69,East,Summer,Stormy
36.8,98,17.61,1013.5,3.5,29.6,94,East,Monsoon,Rainy
31.9,53,28.28,1001.3,6.1,25.4,4,West,Winter,Stormy
23.7,89,23.51,1026.0,4.6,14.5,25,South,Autumn,Stormy
24.8,84,12.72,1022.4,5.4,24.2,91,North,Summer,Rainy
17.0,53,22.15,997.7,4.2,15.3,14,West,Autumn,Stormy
24.9,53,29.23,1009.8,3.5,20.8,72,East,Summer,Stormy
22.7,83,1.69,1000.9,7.1,19.0,54,East,Summer,Stormy
27.6,55,0.45,984.4,8.0,23.4,21,North,Autumn,Stormy
18.4,95,18.32,1000.7,8.9,16.3,36,East,Summer,Stormy
29.2,67,5.27,1014.1,2.4,27.7,84,South,Monsoon,Stormy
37.3,94,26.57,1018.8,8.4,32.2,28,East,Winter,Stormy
24.1,80,8.56,1009.8,3.3,14.8,25,North,Monsoon,Stormy
28.2,64,17.31,1026.7,4.8,24.3,69,West,Winter,Stormy
30.5,72,7.91,1023.3,9.1,30.1,10,South,Monsoon,Stormy
21.8,58,21.94,1011.7,5.1,14.7,99,East,Monsoon,Cloudy
26.8,66,4.64,1010.5,2.8,23.9,19,North,Winter,Stormy
25.1,87,0.92,1016.8,2.4,22.6,83,West,Summer,Rainy
25.8,83,2.05,1012.8,5.3,22.6,90,West,Autumn,Rainy
18.8,68,38.17,998.7,7.9,11.6,69,North,Autumn,Stormy
25.2,71,5.69,1010.0,10.0,17.0,32,West,Autumn,Stormy
29.0,57,28.34,1019.7,8.1,23.1,29,West,Summer,Stormy
36.6,58,2.72,1026.1,8.9,33.4,49,West,Monsoon,Sunny
32.7,72,4.33,1022.6,7.7,29.6,33,West,Monsoon,Stormy
42.2,32,20.36,1016.3,9.1,41.0,4,North,Monsoon,Sunny
18.9,39,18.59,1027.6,1.7,9.6,79,North,Summer,Stormy
32.0,88,38.06,1017.2,9.4,25.6,11,East,Winter,Stormy
26.5,43,37.79,1012.1,4.6,26.2,75,East,Summer,Stormy
